CPU SOCKET    MAXMHZ
  0      0 3500.0000
  1      0 3500.0000
  2      0 3500.0000
  3      0 3500.0000
  4      0 3500.0000
  5      0 3500.0000
  6      0 3500.0000
  7      0 3500.0000
  8      0 3500.0000
  9      0 3500.0000
 10      0 3500.0000
 11      0 3500.0000
 12      0 3500.0000
 13      0 3500.0000
 14      0 3500.0000
 15      0 3500.0000
 16      0 3500.0000
 17      0 3500.0000
 18      0 3500.0000
 19      0 3500.0000
 20      0 3500.0000
 21      0 3500.0000
 22      0 3500.0000
 23      0 3500.0000
 24      0 2600.0000
 25      0 2600.0000
 26      0 2600.0000
 27      0 2600.0000
 28      0 2600.0000
 29      0 2600.0000
 30      0 2600.0000
 31      0 2600.0000
